wp_ID,wp_post_title,wp_post_name,cf__sku,Source
3584,Sweetheart Playsuit in White,sweetheart-playsuit-in-white,SPW000,sweetheart-playsuit-white.html
3577,Sweetheart Playsuit in Pink,sweetheart-playsuit-in-pink,SPP000,sweetheart-playsuit-pink.html
3445,Blue Sequined Party Dress,blue-sequined-party-dress,SPDRS000,blue-sequined-party-dress.html
3654,Casual Kelly Tee in Grey -  Medium,casual-kelly-tee-in-grey-medium,CKT001,casual-kelly-tee-grey-medium.html
3537,Night on the town mesh dress in black,night-on-the-town-mesh-dress-in-black,NTM000,night-mesh-dress-black.html
3544,Pretty Meshy Dress in Black,pretty-meshy-dress-in-black,PDM000,pretty-meshy-dress-black.html
3551,Sexy Leopard Shift Dress,sexy-leopard-shift-dress,LSD000,sexy-leopard-shift-dress.html
3558,Show Stopper Playsuit in Blue,show-stopper-playsuit-in-blue,SSP000,show-stopper-playsuit-blue.html
3573,Summer Suzie Tee Dress in Blue,summer-suzie-tee-dress-in-blue,SST001,summer-suzie-tee-dress-blue.html
3569,Summer Suzie Tee Dress in Red,summer-suzie-tee-dress-in-red,SST000,summer-suzie-tee-dress-red.html
3648,Brat Tee in Black,brat-tee-in-black,BT000,brat-tee-black-453.html
3666,Kool Kim Top in White,kool-kim-top-in-white,KKT000,kool-kim-top-white.html
3673,Criss Cross Top in White,criss-cross-top-in-white,CRT000,criss-cross-top-white.html
3680,Dare to Dream Playsuit in Black,dare-to-dream-playsuit-in-black,DTD000,dare-to-dream-playsuit-black.html
3698,Hugs & Kiss Party Dress in Red,hugs-kiss-party-dress-in-red,HKP000,hugs-kiss-party-dress-in-red.html
3714,Lost Tee in Grey,lost-tee-in-grey,LTG000,lost-tee-grey.html
3720,Playful Lace Top in White,playful-lace-top-in-white,PLT000,playful-lace-top-white.html
3725,Polka Dot Princess Tee in Black,polka-dot-princess-tee-in-black,PDP000,ploka-dot-princess-tee-black.html
3732,Pretty in Pink Playsuit,pretty-in-pink-playsuit,PIP000,pretty-in-pink-playsuit.html
3755,Romeo Crop Top in Black ,romeo-crop-top-in-black,RCT000,romeo-crop-top-black.html
3761,Sassy Anne Jumpsuit in Blue,sassy-anne-jumpsuit-in-blue,SAJ000,sassy-anne-jumpsuit-blue.html
3789,Wave Mesh Playsuit in White,wave-mesh-playsuit-in-white,WMP000,wave-mesh-playsuit-white.html
3850,Blue Mist Day Dress,blue-mist-day-dress,BMDD000,blue-mist-day-dress.html
3871,Bluebell Day Dress in Navy,bluebell-day-dress-in-navy,BBD000,bluebell-day-dress-navy-586.html
3878,Southern Comfort Maxi Dress in Black,southern-comfort-maxi-dress-in-black,SCM000,southern-comfort-maxi-dress-black.html
3884,Ruched Maxi Dress in Black,ruched-maxi-dress-in-black,RMB000,ruched-maxi-dress-black.html
3891,Ruched Maxi Dress in White,ruched-maxi-dress-in-white,RMW000,ruched-maxi-dress-white.html
3692,Grey Butterfly Day Dress,grey-butterfly-day-dress,GBD000,grey-butterfly-day-dress.html
3843,Symphony Party Dress in Navy,symphony-party-dress-in-navy,SDN000,smphony-party-dress-navy.html
3818,Mariana Playsuit in Black,mariana-playsuit-in-black,MPB000,mariana-playsuit-black.html
3834,Voltage Playsuit in Black,voltage-playsuit-in-black,VPB000,voltage-playsuit-black.html
3826,Tanya Pinstripe Playsuit in Black,tanya-pinstripe-playsuit-in-black,TPP000,tanya-pinstripe-playsuit-black.html
3484,Black Bombshell Dress,black-bombshell-dress,BBS001,black-bombshell-dress.html
3864,Crystal Clear Playsuit in White,crystal-clear-playsuit-in-white,CCP000,crystal-clear-playsuit-white.html
3857,Swing Party Dress in White,swing-party-dress-in-white,SPDW000,swing-party-dress-white.html
3500,Just A Little Naughty Playsuit in White ,just-a-little-naughty-playsuit-in-white,NPS000,just-a-little-naughty-playsuit-white.html
3628,African Safari Playsuit in White,african-safari-playsuit-in-white,ASP000,african-safari-playsuit-white.html
3635,Beach Babe Playsuit in Pink,beach-babe-playsuit-in-pink,BBP000,beach-babe-playsuit-pink.html
3522,Let's Play Dress in Red ,let-s-play-dress-in-red,LPD000,lets-play-dress-red.html
3641,Black or White Day Dress,black-or-white-day-dress,BWDD000,black-or-white-day-dress.html
3703,Hugs & Kiss Party Dress in White,hugs-kiss-party-dress-in-white,HKP004,hugs-kiss-party-dress-in-white.html
3748,Red Lips Party Dress ,red-lips-party-dress,RLP000,red-lips-party-dress.html
3768,Senorita Party Dress,senorita-party-dress,SPD000,senorita-party-dress-black.html
3781,Vixen Dress in White,vixen-dress-in-white,VPW000,vixen-dress-white.html
3418,Cascade Halter Neck Dress - 12,cascade-halter-neck-dress-12,ODRH003,cascade-halter-neck-dress-large.html
3417,Cascade Halter Neck Dress - 10,cascade-halter-neck-dress-10,ODRH002,cascade-halter-neck-dress-medium.html
3416,Cascade Halter Neck Dress - 8,cascade-halter-neck-dress-8,ODRH001,cascade-halter-neck-dress-small.html
3419,Cascade Halter Neck Dress ,cascade-halter-neck-dress,ODRH000,halter-neck-dress.html
3709,Look At Me Party Dress in Black,look-at-me-party-dress-in-black,LAM000,look-at-me-party-dress-black.html
3608,Endless Splendour Dress in Black,endless-splendour-dress-in-black,EPD000,endless-splendour-black.html
3739,Princess Playsuit in Pink,princess-playsuit-in-pink,PPP000,princess-playsuit-in-pink.html
3279,Bohemian Anchor Bracelet - White,bohemian-anchor-bracelet-white,BRACE008,bohemian-anchor-bracelet-white.html
3863,Swing Party Dress in White,swing-party-dress-in-white-2,SPDW003,swing-party-dress-white-594.html
3491,Call Me Playsuit in Black,call-me-playsuit-in-black,CMP000,call-me-playsuit-black.html
3796,Test Product (NOT FOR SALE),test-product-not-for-sale,TEST001,test.html
3488,Black Rose Shift Dress ,black-rose-shift-dress,BRS001,black-rose-shift-dress.html
3518,Free Shift Dress in Purple,free-shift-dress-in-purple,FSD001,free-shift-dress-purple.html
3591,Watch Out Party Dress in Black ,watch-out-party-dress-in-black,WOP000,watch-out-dress-black.html
3599,Black & Cream Striped Bodycon Dress,black-cream-striped-bodycon-dress,BWS000,bodycon-dress-464.html
3616,Red Sequined Party Dress,red-sequined-party-dress,RSD000,red-sequined-party-dress.html
3659,City Chic Party Dress in White,city-chic-party-dress-in-white,CCD000,city-chic-party-dress-white.html
3775,Serenity Floral Print Maxi Dress,serenity-floral-print-maxi-dress,SFM000,serenity-floral-maxi-dress.html
3512,Come Hither Bodycon in Black ,come-hither-bodycon-in-black,CHB000,come-hither-bodycon-black-403.html
3529,Lolita Playsuit in White,lolita-playsuit-in-white,LPW000,lolita-playsuit-white.html
3563,Summer Fun Playsuit in Red,summer-fun-playsuit-in-red,SFP000,summer-fun-playsuit-in-red.html
3686,Florista Playsuit in Black,florista-playsuit-in-black,FPB000,florista-playsuit-black.html
3394,Casual Floral Print Day Dress,casual-floral-print-day-dress,ADDRS000,antique-day-dress.html
3430,Kaleidoscope Maxi Dress - Small,kaleidoscope-maxi-dress-small,MDDRS001,kaleidoscope-maxi-dress-small.html
3431,Kaleidscope Maxi Dress - Large ,kaleidscope-maxi-dress-large,MDDRS003,kaleidoscope-maxi-dress-large.html
3432,Kaleidoscope Maxi Dress - Medium,kaleidoscope-maxi-dress-medium,MDDRS002,kaleidoscope-maxi-dress-medium.html
3413,Black Strapless Party Dress ,black-strapless-party-dress,BBDRS000,black-backless-party-dress.html
3402,Basic Party Dress in Black,basic-party-dress-in-black,BLDRS000,basic-party-dress-black.html
3405,Ruffled Leopard Print Skater Dress,ruffled-leopard-print-skater-dress,LDDRS000,ruffled-leopard-print-skater-dress.html
3433,Kaleidoscope Maxi Dress,kaleidoscope-maxi-dress,MDDRS000,sleeveless-multiprint-maxi-dress.html
3442,Sexy Black Beach Dress,sexy-black-beach-dress,BDDRS000,sexy-black-beach-dress.html
3627,Red Sequined Party Dress - Medium,red-sequined-party-dress-medium,RSD001,red-sequined-party-dress-medium.html
3444,Blue Sequined Party Dress - Medium ,blue-sequined-party-dress-medium,SPDRS001,blue-sequined-party-dress-medium.html
3427,Midnight Magic Lace Dress in Black,midnight-magic-lace-dress-in-black,SBDRS000,midnight-magic-lace-dress-black.html
3052,Silver Hoop Earrings,silver-hoop-earrings,EAR002,hoop-earrings-silver.html
3056,Rustic Make A Wish Rings - Belief,rustic-make-a-wish-rings-belief,RING002,stackable-rings-belief.html
3060,Rustic Make A Wish Rings - Hope,rustic-make-a-wish-rings-hope,RING003,stackable-rings-hope.html
3068,Rustic Make A Wish Rings - Peace,rustic-make-a-wish-rings-peace,RING005,stackable-rings-peace.html
3064,Rustic Make A Wish Rings - Love,rustic-make-a-wish-rings-love,RING004,stackable-rings-love.html
3072,Rustic Make A Wish Rings - Free,rustic-make-a-wish-rings-free,RING006,stackable-rings-free.html
3076,Rustic Make A Wish Rings - Wisdom,rustic-make-a-wish-rings-wisdom,RING007,stackable-rings-wisdom.html
3080,Rustic Make A Wish Rings - Luck,rustic-make-a-wish-rings-luck,RING008,stackable-rings-luck.html
3083,Geometric Necklace - Black,geometric-necklace-black,NECK006,geometric-necklace-black.html
3091,Charm Bracelet - Blue,charm-bracelet-blue,BRACE012,charm-bracelet-blue.html
3095,Charm Bracelet - White,charm-bracelet-white,BRACE013,charm-bracelet-white.html
3087,Charm Bracelet - Black,charm-bracelet-black,BRACE011,charm-bracelet-black.html
3103,Punk Style Leather Bracelet - Pink,punk-style-leather-bracelet-pink,BRACE016,leather-bracelet-pink.html
3105,Handmade Leather Bracelets - Assorted,handmade-leather-bracelets-assorted,BRACE017,handmade-leather-bracelets.html
3106,Sterling Silver Filled Charm Tag Bracelet,sterling-silver-filled-charm-tag-bracelet,BRACE018,charm-bracelet-silver.html
3110,Chunky Beaded Necklace - Green/Teal,chunky-beaded-necklace-green-teal,BRACE019,beaded-necklace-green.html
3127,Chunky Beaded Necklace - White,chunky-beaded-necklace-white,BRACE024,beaded-necklace-white.html
