wp_ID,wp_post_title,wp_post_name,cf__sku,cf__price,cf__regular_price,cf__sale_price,cf__stock
3482,USED HotSpot Netgear WNDAP360 pro safe Dual Band Wireless-N Access Point,used-hotspot-netgear-wndap360-pro-safe-dual-band-wireless-n-access-point,spot-netgear-wndap360-pro-safe-dual-band-wireless-n-access-point,199,199,,0
3470,Women's vintage style dangling earrings orange,vintage-dangling-earrings,VSO001,11.99,11.99,,1
3468,Women's retro vintage dangling earrings red,dangling-earrings-red,VER001,12.99,12.99,,1
3462,Women's casual half hoop earrings - Pink,hoop-earrings-pink,HHP001,5.99,5.99,,1
3460,Women's casual dangling earrings,casual-dangling-earrings,CDE001,7.99,7.99,,1
3458,Women's elegant black and gold dangle earrings,elegant-dangle-earrings,EBG001,9.99,9.99,,1
3464,Women's casual half hoop earrings - Blue,hoop-earrings-blue,HHB001,5.99,5.99,,1
3466,Women's casual half hoop earrings - Yellow,half-earrings-yellow,HHY001,5.99,5.99,,1
3394,Casual Floral Print Day Dress,casual-floral-dress,ADDRS000,39.95,,,0
3484,Black Bombshell Dress,black-bombshell-dress,BBS001,20,34.99,20,2
3488,Black Rose Shift Dress,black-rose-dress,BRS001,20,34.99,20,3
3491,Call Me Playsuit in Black,call-me-playsuit,CMP000,25,39.99,25,0
3500,Just A Little Naughty Playsuit in White,naughty-playsuit-white,NPS000,25,35.99,25,0
3512,Come Hither Bodycon in Black,come-hither-bodycon,CHB000,20,39.99,20,0
3522,Let's Play Dress in Red,play-dress-red,LPD000,20,34.99,20,0
3518,Free Shift Dress in Purple,free-shift-dress,FSD001,20,32.99,20,3
3529,Lolita Playsuit in White,lolita-playsuit-white,LPW000,20,39.99,20,0
3537,Night on the town mesh dress in black,mesh-dress-black,NTM000,29.99,34.99,29.99,0
3544,Pretty Meshy Dress in Black,pretty-meshy-dress,PDM000,15,39.99,15,0
3551,Sexy Leopard Shift Dress,leopard-shift-dress,LSD000,18,34.99,18,0
3558,Show Stopper Playsuit in Blue,show-stopper-playsuit,SSP000,18,34.99,18,0
3569,Summer Suzie Tee Dress in Red,tee-dress-red,SST000,18,29.99,18,1
3563,Summer Fun Playsuit in Red,summer-fun-playsuit,SFP000,20,34.99,20,0
3573,Summer Suzie Tee Dress in Blue,tee-dress-blue,SST001,18,29.99,15,1
3584,Sweetheart Playsuit in White,sweetheart-playsuit-white,SPW000,29.99,34.99,29.99,0
3577,Sweetheart Playsuit in Pink,sweetheart-playsuit-pink,SPP000,29.99,34.99,29.99,0
3591,Watch Out Party Dress in Black,watch-party-dress,WOP000,20,34.99,20,0
3608,Endless Splendour Dress in Black,endless-splendour-dress,EPD000,20,24.99,20,0
3599,Black & Cream Striped Bodycon Dress,striped-bodycon-dress,BWS000,20,24.99,20,0
3616,Red Sequined Party Dress,sequine-party-dress,RSD000,20,29.99,20,0
3628,African Safari Playsuit in White,african-safari-playsuit,ASP000,20,34.99,20,0
3648,Brat Tee in Black,brat-tee-black,BT000,18,24.99,18,0
3641,Black or White Day Dress,black-white-dress,BWDD000,20,34.99,20,0
3635,Beach Babe Playsuit in Pink,beach-babe-playsuit,BBP000,20,34.99,20,0
3659,City Chic Party Dress in White,citychic-party-dress,CCD000,20,34.99,20,0
3654,Casual Kelly Tee in Grey -  Medium,casual-kelly-tee,CKT001,24.99,24.99,20,1
3666,Kool Kim Top in White,kool-kim-top,KKT000,18,29.99,15,0
3673,Criss Cross Top in White,criss-cross-top,CRT000,18,29.99,15,0
3680,Dare to Dream Playsuit in Black,dare-to-dream-playsuit,DTD000,20,,,0
3686,Florista Playsuit in Black,florista-playsuit,FPB000,20,34.99,20,0
3692,Grey Butterfly Day Dress,grey-butterfly-dress,GBD000,34.99,34.99,,0
3698,Hugs & Kiss Party Dress in Red,kiss-party-dress,HKP000,15,34.99,15,0
3703,Hugs & Kiss Party Dress in White,kiss-dress-white,HKP004,20,34.99,15,0
3714,Lost Tee in Grey,lost-tee-grey,LTG000,18,29.99,15,0
