wp_ID,wp_post_title,wp_post_name,cf__sku,Source
3431,Kaleidscope Maxi Dress - Large ,kaleidscope-maxi-large,MDDRS003,kaleidoscope-maxi-dress-large.html
3432,Kaleidoscope Maxi Dress - Medium,kaleidoscope-maxi-medium,MDDRS002,kaleidoscope-maxi-dress-medium.html
3413,Black Strapless Party Dress ,strapless-party-dress,BBDRS000,black-backless-party-dress.html
3402,Basic Party Dress in Black,dress,BLDRS000,basic-party-dress-black.html
3405,Ruffled Leopard Print Skater Dress,leopard-print-dress,LDDRS000,ruffled-leopard-print-skater-dress.html
3433,Kaleidoscope Maxi Dress,kaleidoscope-maxi-dress,MDDRS000,sleeveless-multiprint-maxi-dress.html
3442,Sexy Black Beach Dress,black-beach-dress,BDDRS000,sexy-black-beach-dress.html
3627,Red Sequined Party Dress - Medium,red-sequined-dress,RSD001,red-sequined-party-dress-medium.html
3444,Blue Sequined Party Dress - Medium ,blue-sequined-dress,SPDRS001,blue-sequined-party-dress-medium.html
3427,Midnight Magic Lace Dress in Black,midnight-lace-dress,SBDRS000,midnight-magic-lace-dress-black.html
3052,Silver Hoop Earrings,hoop-earrings,EAR002,hoop-earrings-silver.html
3056,Rustic Make A Wish Rings - Belief,wish-rings-belief,RING002,stackable-rings-belief.html
3060,Rustic Make A Wish Rings - Hope,wish-rings-hope,RING003,stackable-rings-hope.html
3068,Rustic Make A Wish Rings - Peace,wish-rings-peace,RING005,stackable-rings-peace.html
3064,Rustic Make A Wish Rings - Love,wish-rings-love,RING004,stackable-rings-love.html
3072,Rustic Make A Wish Rings - Free,wish-rings-free,RING006,stackable-rings-free.html
3076,Rustic Make A Wish Rings - Wisdom,wish-rings-wisdom,RING007,stackable-rings-wisdom.html
3080,Rustic Make A Wish Rings - Luck,wish-rings-luck,RING008,stackable-rings-luck.html
3083,Geometric Necklace - Black,geometric-necklace-black,NECK006,geometric-necklace-black.html
3091,Charm Bracelet - Blue,charm-bracelet-blue,BRACE012,charm-bracelet-blue.html
3095,Charm Bracelet - White,charm-bracelet-white,BRACE013,charm-bracelet-white.html
3087,Charm Bracelet - Black,charm-bracelet-black,BRACE011,charm-bracelet-black.html
3103,Punk Style Leather Bracelet - Pink,punk-bracelet-pink,BRACE016,leather-bracelet-pink.html
3105,Handmade Leather Bracelets - Assorted,handmade-leather-bracelets,BRACE017,handmade-leather-bracelets.html
3106,Sterling Silver Filled Charm Tag Bracelet,sterling-silver-bracelet,BRACE018,charm-bracelet-silver.html
3110,Chunky Beaded Necklace - Green/Teal,beaded-necklace-teal,BRACE019,beaded-necklace-green.html
3127,Chunky Beaded Necklace - White,beaded-necklace-white,BRACE024,beaded-necklace-white.html
3114,Chunky Beaded Necklace - Black,beaded-necklace-black,BRACE020,beaded-necklace-black.html
3118,Chunky Beaded Necklace - Multi Colour,beaded-necklace-multi-colour,BRACE021,beaded-necklace-multi-colour.html
3122,Chunky Beaded Necklace - Red,beaded-necklace,BRACE022,beaded-necklace-red.html
3123,Chunky Beaded Necklace - Gold,beaded-necklace-gold,BRACE023,beaded-necklace-gold.html
3131,One Direction Silicone Band  - So In Love With One Direction,one-direction-direction,BRACE025,silicone-band-so-in-love-with-one-direction.html
3135,One Direction Silicone Band  - You Don't Know You're Beautiful,one-direction-beauty,BRACE026,silicone-band-you-don-t-know-you-re-beautiful.html
3139,One Direction Silicone Band  - You Got That One Thing,one-direction-thing,BRACE027,silicone-band-you-got-that-one-thing.html
3143,One Direction Silicone Band  - That's What Makes You Beautiful,one-direction-beautiful,BRACE028,silicone-band-that-s-what-makes-you-beautiful.html
3147,One Direction Silicone Band  - I Love One Direction,one-direction-love,BRACE029,silicone-band-i-love-one-direction.html
3151,"One Direction Silicone Band  - It's Not An Obsession, It's Dedication",one-direction-dedication,BRACE030,silicone-band-it-s-not-an-obsession-it-s-dedication.html
3155,One Direction Silicone Band  - I Love Niall,one-direction-niall,BRACE031,silicone-band-i-love-niall.html
3159,One Direction Silicone Band  - I Love Harry,one-direction-harry,BRACE032,silicone-band-i-love-harry.html
3163,One Direction Silicone Band  - I Love Liam,one-direction-liam,BRACE033,silicone-band-i-love-liam.html
3171,One Direction Silicone Band  - I Love Zayn,one-direction-zayn,BRACE035,silicone-band-i-love-zayn.html
3167,One Direction Silicone Band  - I Love Louise,one-direction-louise,BRACE034,silicone-band-i-love-louise.html
3352,Feather Earrings  - Pink,feather-earrings-pink,EAR007,feather-earrings-pink.html
3182,Sterling Silver Hoop Earrings,silver-hoop-earrings,EAR003,double-layer-silver-hoop-earrings-silver.html
3178,Gold Chain Necklace,gold-chanecklace,BRACE036,chain-necklace-gold.html
3185,Sterling Silver Hoop Earrings,silver-earrings,EAR004,big-hoop-earrings-silver.html
3202,Nail Stickers - Solid Silver,nail-stickers-silver,NAIL025,nail-stickers-solid-silver.html
3204,All In One Bracelet - Red,all-bracelet-red,BRACE037,all-in-one-bracelet-red.html
3208,All In One Bracelet - Blue,all-bracelet-blue,BRACE038,all-in-one-bracelet-blue.html
3212,Leather Bracelet Wrist Watch - Green,wrist-watch-green,BRACE039,leather-bracelet-wrist-watch-green.html
3216,Assorted Nail Stickers - Assorted 2pk,assorted-nail-stickers,NAIL026,assorted-nail-stickers-2-pack-assorted.html
3226,Graduated Drop Necklace - Silver,graduated-drop-necklace,NECK007,graduated-drop-necklace-silver.html
3228,Two Way Nail Art - Black,nail-art-black,NAIL001,two-way-nail-art-black.html
3230,Two Way Nail Art - Lavender,nail-art-lavender,NAIL002,two-way-nail-art-lavender.html
3231,Two Way Nail Art - White,nail-art-white,NAIL003,two-way-nail-art-white.html
3233,Two Way Nail Art - Maroon,nail-art-maroon,NAIL004,two-way-nail-art-maroon.html
